"OTUvec1"	"OTUvec2"	"tau"	"p_value"
"158"	"Otu00005"	"Otu00019"	0.467477205096609	0.000139056664842041
"159"	"Otu00006"	"Otu00019"	-0.250772925121362	0.0368114711750825
"160"	"Otu00007"	"Otu00019"	0.222875691045061	0.0600029092529013
"161"	"Otu00008"	"Otu00019"	-0.144103478544015	0.235645703682388
"162"	"Otu00009"	"Otu00019"	0.0530246982670822	0.659671310822267
"163"	"Otu00010"	"Otu00019"	0.297385996187027	0.0216874264307307
"164"	"Otu00011"	"Otu00019"	-0.0702852339707711	0.590722478284043
"165"	"Otu00012"	"Otu00019"	0.195696580512897	0.0960296826653562
"166"	"Otu00013"	"Otu00019"	0.0706963804749856	0.55996562500853
"167"	"Otu00014"	"Otu00019"	0.433297200616682	0.000545049871921721
"168"	"Otu00015"	"Otu00019"	0.100671638750893	0.395959494030502
"169"	"Otu00016"	"Otu00019"	-0.213645551798679	0.0827250232382482
"170"	"Otu00017"	"Otu00019"	-0.0864790869437951	0.506277753271579
"171"	"Otu00018"	"Otu00019"	0.717629535837563	2.27364014282472e-08
"172"	"Otu00001"	"Otu00020"	-0.24580931888545	0.0428777867014266
"173"	"Otu00002"	"Otu00020"	-0.216887501163051	0.0726862605379759
"174"	"Otu00003"	"Otu00020"	0.595391482945525	7.7551692401201e-08
"175"	"Otu00004"	"Otu00020"	0.489529670682118	1.59383957691883e-05
"176"	"Otu00005"	"Otu00020"	-0.186912247403966	0.109993390883673
"177"	"Otu00006"	"Otu00020"	0.591330212209828	2.40616653046644e-07
"178"	"Otu00007"	"Otu00020"	0.356321328872372	0.00160905957745916
"179"	"Otu00008"	"Otu00020"	0.389973398624802	0.000759603846683277
"180"	"Otu00009"	"Otu00020"	0.624523949353058	5.28993151505119e-08
"181"	"Otu00010"	"Otu00020"	-0.170326558719696	0.167614942712871
"182"	"Otu00011"	"Otu00020"	-0.119329003540986	0.337952806419049
"183"	"Otu00012"	"Otu00020"	0.509539510068434	5.46967885073357e-06
"184"	"Otu00013"	"Otu00020"	0.642095876083565	2.78890610605487e-08
"185"	"Otu00014"	"Otu00020"	0.164463660888938	0.168496160387278
"186"	"Otu00015"	"Otu00020"	0.729007196403888	1.13122622380502e-10
"187"	"Otu00016"	"Otu00020"	0.175064499582746	0.135773612518935
"188"	"Otu00017"	"Otu00020"	-0.146822635269719	0.236324308200052
"189"	"Otu00018"	"Otu00020"	0.0526459842516711	0.666958283161881
"190"	"Otu00019"	"Otu00020"	0.0181386963440102	0.881610587156585
"191"	"Otu00001"	"Otu00021"	-0.180532076882129	0.124994502698639
"192"	"Otu00002"	"Otu00021"	-0.146239065008261	0.211894313375054
"193"	"Otu00003"	"Otu00021"	0.279538215113533	0.00928362398575477
"194"	"Otu00004"	"Otu00021"	0.366066841676331	0.000874172971735421
"195"	"Otu00005"	"Otu00021"	-0.389077304778712	0.000600108796089211
"196"	"Otu00006"	"Otu00021"	0.348503531979776	0.0016922774595387
"197"	"Otu00007"	"Otu00021"	0.0633905279264956	0.562761405682321
"198"	"Otu00008"	"Otu00021"	0.266933698831068	0.0174437981705871
"199"	"Otu00009"	"Otu00021"	0.463932696005911	3.05870483170434e-05
"200"	"Otu00010"	"Otu00021"	-0.0703010723069067	0.556823040223704
"201"	"Otu00011"	"Otu00021"	-0.150653773345327	0.212007627780869
"202"	"Otu00012"	"Otu00021"	0.234064357632886	0.0312679502719773
"203"	"Otu00013"	"Otu00021"	0.460717728637958	3.9476642744507e-05
"204"	"Otu00014"	"Otu00021"	-0.0591905299887686	0.609188746010326
"205"	"Otu00015"	"Otu00021"	0.335458720514827	0.00221137246175096
"206"	"Otu00016"	"Otu00021"	0.154114846794317	0.175561883666615
"207"	"Otu00017"	"Otu00021"	-0.087929405290181	0.464377331079506
"208"	"Otu00018"	"Otu00021"	-0.214736162292608	0.0701822902452163
"209"	"Otu00019"	"Otu00021"	-0.242566408523234	0.0399250230918176
"210"	"Otu00020"	"Otu00021"	0.375786461664557	0.00084128354838775
"211"	"Otu00001"	"Otu00022"	-0.27888802601837	0.0198143115180243
"212"	"Otu00002"	"Otu00022"	0.0345143008489273	0.772086157534881
"213"	"Otu00003"	"Otu00022"	0.460266301995881	2.53675030594813e-05
"214"	"Otu00004"	"Otu00022"	0.241349140297881	0.0309751251490733
"215"	"Otu00005"	"Otu00022"	0.160951353557029	0.16283153847434
"216"	"Otu00006"	"Otu00022"	0.155789571482298	0.167640536375798
"217"	"Otu00007"	"Otu00022"	0.526886692981881	2.25002512577177e-06
"218"	"Otu00008"	"Otu00022"	0.0926823793701427	0.417083682568511
"219"	"Otu00009"	"Otu00022"	0.421435744951141	0.000196543293990992
"220"	"Otu00010"	"Otu00022"	0.0439198876474493	0.718209098658427
"221"	"Otu00011"	"Otu00022"	-0.0215388693789027	0.860759567012779
"222"	"Otu00012"	"Otu00022"	0.48653976418639	1.0748343166167e-05
"223"	"Otu00013"	"Otu00022"	0.406876732697503	0.000358336904352052
"224"	"Otu00014"	"Otu00022"	0.450309861173023	0.000131506263124859
"225"	"Otu00015"	"Otu00022"	0.469727785658855	2.51827617814282e-05
"226"	"Otu00016"	"Otu00022"	0.14146532640894	0.221559416535894
"227"	"Otu00017"	"Otu00022"	-0.0353352883663309	0.772552929955316
"228"	"Otu00018"	"Otu00022"	0.302272964783347	0.0122209971643306
"229"	"Otu00019"	"Otu00022"	0.367065792097286	0.00224024140697221
"230"	"Otu00020"	"Otu00022"	0.369090576809736	0.00126374278474395
"231"	"Otu00021"	"Otu00022"	0.108829354480645	0.326840412873652
"232"	"Otu00001"	"Otu00023"	0.093299086759479	0.473183370640632
"233"	"Otu00002"	"Otu00023"	-0.105842001503027	0.413657136621933
"234"	"Otu00003"	"Otu00023"	-0.199264743003533	0.0931107580329383
"235"	"Otu00004"	"Otu00023"	-0.170940864689457	0.159431671410576
"236"	"Otu00005"	"Otu00023"	0.00560085677258291	0.964340646964274
"237"	"Otu00006"	"Otu00023"	-0.161600095945454	0.187565357071433
"238"	"Otu00007"	"Otu00023"	-0.186709761235863	0.12276129649745
"239"	"Otu00008"	"Otu00023"	-0.152476198277032	0.219046529615187
"240"	"Otu00009"	"Otu00023"	-0.162029769918276	0.187494949681916
"241"	"Otu00010"	"Otu00023"	-0.0646489419176087	0.624999421382149
"242"	"Otu00011"	"Otu00023"	-0.0452923717651278	0.734313486301223
"243"	"Otu00012"	"Otu00023"	-0.185094668081253	0.123073185508354
"244"	"Otu00013"	"Otu00023"	-0.163339651944141	0.187143931817654
"245"	"Otu00014"	"Otu00023"	-0.122748981870116	0.337395781311468
"246"	"Otu00015"	"Otu00023"	-0.175786572750268	0.146545230566015
"247"	"Otu00016"	"Otu00023"	-0.137674917068011	0.273468999777578
"248"	"Otu00017"	"Otu00023"	-0.0557278212575353	0.674884802229073
"249"	"Otu00018"	"Otu00023"	-0.0799289835634555	0.542037373559109
"250"	"Otu00019"	"Otu00023"	-0.086747239794936	0.506227407703939
"251"	"Otu00020"	"Otu00023"	-0.147277900347681	0.236263198395366
"252"	"Otu00021"	"Otu00023"	-0.0738990192746287	0.53981296518155
"253"	"Otu00022"	"Otu00023"	-0.167097175527491	0.172949781022096
"254"	"Otu00001"	"Otu00024"	-0.26621699534161	0.0232826095850573
"255"	"Otu00002"	"Otu00024"	-0.26455102952307	0.0235241511575747
"256"	"Otu00003"	"Otu00024"	0.755327109118322	1.80033765673215e-12
"257"	"Otu00004"	"Otu00024"	0.383856080423251	0.000465547130195088
"258"	"Otu00005"	"Otu00024"	-0.10820876499976	0.338517797317755
"259"	"Otu00006"	"Otu00024"	0.534828032785598	1.35339386631017e-06
"260"	"Otu00007"	"Otu00024"	0.379131053311878	0.000518056067388528
"261"	"Otu00008"	"Otu00024"	0.466668661595273	3.07507034926768e-05
"262"	"Otu00009"	"Otu00024"	0.683841835031563	7.15023595887487e-10
"263"	"Otu00010"	"Otu00024"	-0.090687921276323	0.447175543605346
"264"	"Otu00011"	"Otu00024"	-0.150173655387056	0.212155896207622
"265"	"Otu00012"	"Otu00024"	0.710849501602803	5.41104938633907e-11
"266"	"Otu00013"	"Otu00024"	0.482063157521329	1.60890970288818e-05
"267"	"Otu00014"	"Otu00024"	0.257681749465381	0.0256165175371776
"268"	"Otu00015"	"Otu00024"	0.751909684133474	6.03139760357863e-12
"269"	"Otu00016"	"Otu00024"	0.111925837663449	0.323864451277292
"270"	"Otu00017"	"Otu00024"	-0.101862564481014	0.395309266820066
"271"	"Otu00018"	"Otu00024"	0.0645553109154326	0.585124967888216
"272"	"Otu00019"	"Otu00024"	0.11220476857028	0.340543742151463
"273"	"Otu00020"	"Otu00024"	0.650052550113939	6.94907664744449e-09
"274"	"Otu00021"	"Otu00024"	0.310991096385583	0.00426546081601131
"275"	"Otu00022"	"Otu00024"	0.485265587780474	1.16280724788975e-05
"276"	"Otu00023"	"Otu00024"	-0.185346898043485	0.123042657410108
"277"	"Otu00001"	"Otu00025"	-0.302155485012453	0.0104857230735836
"278"	"Otu00002"	"Otu00025"	-0.194697093922983	0.0975869031579227
"279"	"Otu00003"	"Otu00025"	0.674706279398874	3.87875287444217e-10
"280"	"Otu00004"	"Otu00025"	0.322534331076533	0.00346702017158496
"281"	"Otu00005"	"Otu00025"	0	1
"282"	"Otu00006"	"Otu00025"	0.445597682684163	6.29963980800508e-05
"283"	"Otu00007"	"Otu00025"	0.390711367517728	0.000376995664177926
"284"	"Otu00008"	"Otu00025"	0.356578911665437	0.00154896155706918
"285"	"Otu00009"	"Otu00025"	0.685666161848985	8.1582007815939e-10
"286"	"Otu00010"	"Otu00025"	-0.0481551064238541	0.688294361791191
"287"	"Otu00011"	"Otu00025"	-0.146682449243439	0.225808522656682
"288"	"Otu00012"	"Otu00025"	0.678752521203382	4.80813389103218e-10
"289"	"Otu00013"	"Otu00025"	0.49372087735472	1.12930310747217e-05
"290"	"Otu00014"	"Otu00025"	0.327810168678899	0.0047698872440185
"291"	"Otu00015"	"Otu00025"	0.70308162229849	1.62253099844634e-10
"292"	"Otu00016"	"Otu00025"	-0.0312108756365243	0.784518763073384
"293"	"Otu00017"	"Otu00025"	-0.0409084299500643	0.734387282082966
"294"	"Otu00018"	"Otu00025"	0.132879151398483	0.26405418402075
"295"	"Otu00019"	"Otu00025"	0.205485260585768	0.082772552541561
"296"	"Otu00020"	"Otu00025"	0.543745311243135	1.46756776175927e-06
"297"	"Otu00021"	"Otu00025"	0.291824580886454	0.00768673723240787
"298"	"Otu00022"	"Otu00025"	0.533284296949749	1.67458000821519e-06
"299"	"Otu00023"	"Otu00025"	-0.181037991614579	0.13436790295362
"300"	"Otu00024"	"Otu00025"	0.79049444021031	4.45643522084538e-13
"301"	"Otu00001"	"Otu00026"	0.266095197410043	0.0297776674633685
"302"	"Otu00002"	"Otu00026"	0.126131010298472	0.30079312024901
"303"	"Otu00003"	"Otu00026"	-0.103852219584158	0.352831325812246
"304"	"Otu00004"	"Otu00026"	0.068046938092888	0.552050615438148
"305"	"Otu00005"	"Otu00026"	0.131861939567789	0.26366001108436
"306"	"Otu00006"	"Otu00026"	-0.0961768943005468	0.404952227321556
"307"	"Otu00007"	"Otu00026"	0.101231433786223	0.37431028299675
"308"	"Otu00008"	"Otu00026"	-0.151614865347278	0.194357966601018
"309"	"Otu00009"	"Otu00026"	-0.0661572600563655	0.567697791949339
"310"	"Otu00010"	"Otu00026"	0.0634183841448984	0.610518581454186
"311"	"Otu00011"	"Otu00026"	0.121771812397599	0.332369787381289
"312"	"Otu00012"	"Otu00026"	-0.137601186770975	0.223572431305652
"313"	"Otu00013"	"Otu00026"	-0.0904299511458171	0.438050150983857
"314"	"Otu00014"	"Otu00026"	0.00411666738956115	0.972740853643471
"315"	"Otu00015"	"Otu00026"	-0.0457712624239218	0.68813983179547
"316"	"Otu00016"	"Otu00026"	0.185074478545731	0.117957383546593
"317"	"Otu00017"	"Otu00026"	0.0296956935458249	0.812316223747367
"318"	"Otu00018"	"Otu00026"	-0.021295885499998	0.862994052451917
"319"	"Otu00019"	"Otu00026"	-0.0378204679244474	0.758206624325405
"320"	"Otu00020"	"Otu00026"	-0.0214036362780218	0.854967967718224
"321"	"Otu00021"	"Otu00026"	-0.00519658718737769	0.963489785842608
"322"	"Otu00022"	"Otu00026"	-0.00220763058361229	0.984746823265766
"323"	"Otu00023"	"Otu00026"	-0.154354825990302	0.218501135038279
"324"	"Otu00024"	"Otu00026"	-0.108780550256927	0.336581785769749
"325"	"Otu00025"	"Otu00026"	-0.112606502618132	0.322803598538382
"326"	"Otu00001"	"Otu00027"	-0.293672748691422	0.0130596456523903
"327"	"Otu00002"	"Otu00027"	-0.194339505451326	0.0989349460347924
"328"	"Otu00003"	"Otu00027"	0.75698411345612	2.43494113760789e-12
"329"	"Otu00004"	"Otu00027"	0.394773595686979	0.000357058865241733
"330"	"Otu00005"	"Otu00027"	-0.0253424486729224	0.824070272912475
"331"	"Otu00006"	"Otu00027"	0.509669577817632	4.95293638569372e-06
"332"	"Otu00007"	"Otu00027"	0.388972359131132	0.000412056123281213
"333"	"Otu00008"	"Otu00027"	0.350483600169748	0.00190583418646129
"334"	"Otu00009"	"Otu00027"	0.648647223922716	6.72327127304584e-09
"335"	"Otu00010"	"Otu00027"	-0.00635912992705666	0.957842184824572
"336"	"Otu00011"	"Otu00027"	-0.142564474883968	0.240129447780301
"337"	"Otu00012"	"Otu00027"	0.731067262059808	2.22208917932676e-11
"338"	"Otu00013"	"Otu00027"	0.503934734316078	7.75018222332058e-06
"339"	"Otu00014"	"Otu00027"	0.308353517561286	0.00807487844224397
"340"	"Otu00015"	"Otu00027"	0.72334327322498	5.25690602160012e-11
"341"	"Otu00016"	"Otu00027"	0.153478930040504	0.179691326885177
"342"	"Otu00017"	"Otu00027"	-0.0803969851031444	0.505817044469019
"343"	"Otu00018"	"Otu00027"	0.17646128084819	0.138886003042078
"344"	"Otu00019"	"Otu00027"	0.229166826762925	0.0535379505033589
"345"	"Otu00020"	"Otu00027"	0.568742866082683	5.00517042256732e-07
"346"	"Otu00021"	"Otu00027"	0.367670949284424	0.00080495765340971
"347"	"Otu00022"	"Otu00027"	0.559832049345018	5.25493576875036e-07
"348"	"Otu00023"	"Otu00027"	-0.175955517116748	0.14652806595137
"349"	"Otu00024"	"Otu00027"	0.748892538996774	7.64321939072943e-12
"350"	"Otu00025"	"Otu00027"	0.741746937483971	1.59641189156901e-11
"351"	"Otu00026"	"Otu00027"	-0.0937614461876991	0.411378772397984
"352"	"Otu00001"	"Otu00028"	-0.165174816847312	0.17780652284091
"353"	"Otu00002"	"Otu00028"	-0.271103759294692	0.0262948904173962
"354"	"Otu00003"	"Otu00028"	0.611855010647175	4.53724335880423e-08
"355"	"Otu00004"	"Otu00028"	0.531912559060365	3.4171019318574e-06
"356"	"Otu00005"	"Otu00028"	-0.32152001769118	0.00647318537058655
"357"	"Otu00006"	"Otu00028"	0.720016575241542	4.70737226976325e-10
"358"	"Otu00007"	"Otu00028"	0.200167690577792	0.0792627942327397
"359"	"Otu00008"	"Otu00028"	0.577969505837769	7.71619025341508e-07
"360"	"Otu00009"	"Otu00028"	0.57196466268081	7.99199857404176e-07
"361"	"Otu00010"	"Otu00028"	-0.165591834426776	0.183981046458992
"362"	"Otu00011"	"Otu00028"	-0.116011905278905	0.356226035760627
"363"	"Otu00012"	"Otu00028"	0.520224586455149	4.2892409930495e-06
"364"	"Otu00013"	"Otu00028"	0.446504542286582	0.000130639671325872
"365"	"Otu00014"	"Otu00028"	-0.0384119968872968	0.750085125709655
"366"	"Otu00015"	"Otu00028"	0.59151780474264	2.19449030280927e-07
"367"	"Otu00016"	"Otu00028"	0.338379405270849	0.00429548646926259
"368"	"Otu00017"	"Otu00028"	-0.142741271193632	0.254209231422737
"369"	"Otu00018"	"Otu00028"	-0.204730141276066	0.097456425167873
